Observations and Features:,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5
k-means,0.653,0.538,0.619,0.496,0.658,0.904,0.49,0.641,0.847
k-means + pca,0.759,0.887,0.962,0.712,0.781,0.823,0.71,0.839,0.95
k-means + tsne,0.403,0.568,0.79,0.378,0.513,0.824,0.342,0.534,0.822
k-means + umap,0.69,0.851,0.972,0.753,0.767,0.967,0.691,0.807,0.949
Birch,0.484,0.729,0.928,0.372,0.647,0.791,0.315,0.566,0.821
Birch + pca,0.736,0.786,0.717,0.774,0.909,0.804,0.765,0.835,0.822
Birch + tsne,0.427,0.526,0.936,0.375,0.504,0.939,0.311,0.563,0.854
Birch + umap,0.691,0.851,0.972,0.701,0.865,0.967,0.759,0.821,0.949
GMM,0.597,0.857,0.992,0.393,0.611,0.907,0.336,0.57,0.846
GMM + pca,1.0,1.0,1.0,1.0,0.948,0.845,0.947,0.95,1.0
GMM + tsne,0.729,1.0,1.0,1.0,1.0,1.0,0.962,0.872,0.917
GMM + umap,1.0,1.0,0.993,1.0,0.912,0.971,0.865,0.937,0.949
PAM,0.408,0.511,0.822,0.272,0.425,0.704,0.308,0.473,0.731
PAM + pca,0.776,0.888,0.966,0.709,0.77,0.796,0.761,0.823,0.897
PAM + tsne,0.376,0.646,0.853,0.373,0.581,0.878,0.359,0.535,0.819
PAM + umap,0.698,0.848,0.972,0.747,0.764,0.967,0.725,0.802,0.868
Spectral Clustering,0.632,0.847,0.975,0.541,0.763,0.962,0.482,0.739,0.935
Spectral Clustering + pca,0.984,0.995,0.997,0.942,0.975,0.858,0.833,0.876,0.906
Spectral Clustering + tsne,0.378,0.593,0.966,0.358,0.549,0.952,0.353,0.571,0.925
Spectral Clustering + umap,0.962,0.948,0.972,0.937,0.93,0.666,0.857,0.908,0.73
