Observations and Features:,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5
k-means,0.176,0.215,0.302,0.158,0.195,0.28,0.147,0.166,0.236
k-means + pca,0.174,0.211,0.295,0.101,0.128,0.191,0.085,0.089,0.127
k-means + tsne,0.152,0.196,0.295,0.096,0.135,0.255,0.089,0.123,0.203
k-means + umap,0.17,0.206,0.297,0.13,0.182,0.277,0.114,0.14,0.218
Birch,0.138,0.18,0.153,0.1,0.12,0.244,0.065,0.123,0.219
Birch + pca,0.17,0.195,0.293,0.18,0.208,0.247,0.159,0.15,0.211
Birch + tsne,0.111,0.145,0.271,0.074,0.084,0.253,0.066,0.086,0.171
Birch + umap,0.148,0.2,0.297,0.12,0.165,0.274,0.091,0.143,0.221
GMM,0.146,0.135,0.298,0.099,0.16,0.19,0.077,0.112,0.174
GMM + pca,0.162,0.197,0.289,0.08,0.078,0.145,0.079,0.077,0.115
GMM + tsne,0.091,0.145,0.293,0.087,0.106,0.225,0.079,0.1,0.181
GMM + umap,0.156,0.196,0.297,0.122,0.142,0.271,0.108,0.126,0.206
PAM,0.174,0.213,0.302,0.153,0.159,0.279,0.134,0.162,0.244
PAM + pca,0.174,0.21,0.297,0.103,0.127,0.19,0.082,0.095,0.127
PAM + tsne,0.148,0.196,0.295,0.106,0.125,0.261,0.09,0.114,0.225
PAM + umap,0.169,0.205,0.297,0.129,0.183,0.277,0.116,0.141,0.22
Spectral Clustering,0.171,0.212,0.301,0.153,0.193,0.281,0.141,0.163,0.243
Spectral Clustering + pca,0.172,0.209,0.294,0.103,0.121,0.185,0.076,0.091,0.123
Spectral Clustering + tsne,0.03,0.15,0.285,0.061,0.005,0.154,0.073,0.123,0.206
Spectral Clustering + umap,0.165,0.202,0.297,0.121,0.176,0.271,0.108,0.144,0.12
