Observations and Features:,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5
k-means,0.366,0.534,0.745,0.289,0.442,0.642,0.195,0.334,0.543
k-means + pca,0.352,0.514,0.699,0.176,0.256,0.398,0.126,0.178,0.303
k-means + tsne,0.292,0.499,0.831,0.185,0.309,0.592,0.167,0.285,0.478
k-means + umap,0.382,0.61,0.869,0.271,0.478,0.723,0.198,0.357,0.567
Birch,0.359,0.548,0.337,0.265,0.273,0.513,0.23,0.356,0.567
Birch + pca,0.283,0.447,0.804,0.201,0.226,0.238,0.179,0.181,0.325
Birch + tsne,0.229,0.382,0.78,0.126,0.223,0.748,0.185,0.253,0.458
Birch + umap,0.376,0.618,0.872,0.268,0.469,0.796,0.203,0.471,0.576
GMM,0.324,0.266,0.885,0.096,0.323,0.572,0.143,0.335,0.624
GMM + pca,0.24,0.508,0.799,0.152,0.28,0.282,0.102,0.187,0.269
GMM + tsne,0.068,0.381,0.858,0.214,0.266,0.623,0.134,0.221,0.458
GMM + umap,0.296,0.616,0.874,0.24,0.348,0.805,0.175,0.297,0.526
PAM,0.388,0.577,0.809,0.267,0.337,0.648,0.206,0.322,0.559
PAM + pca,0.354,0.523,0.73,0.165,0.258,0.402,0.137,0.196,0.313
PAM + tsne,0.274,0.515,0.809,0.198,0.287,0.624,0.166,0.299,0.549
PAM + umap,0.386,0.622,0.869,0.273,0.496,0.741,0.185,0.342,0.565
Spectral Clustering,0.395,0.615,0.866,0.274,0.473,0.782,0.18,0.321,0.581
Spectral Clustering + pca,0.328,0.502,0.71,0.161,0.247,0.381,0.131,0.195,0.269
Spectral Clustering + tsne,0.275,0.348,0.828,0.164,0.371,0.579,0.121,0.398,0.53
Spectral Clustering + umap,0.428,0.621,0.872,0.217,0.493,0.805,0.161,0.338,0.732
