Observations and Features:,5000 observations and 20 features,5000 observations and 20 features,5000 observations and 20 features,5000 observations and 20 features,5000 observations and 20 features,5000 observations and 20 features,5000 observations and 20 features,5000 observations and 20 features,5000 observations and 20 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise,0.1 and 20,0.5 and 15,0.9 and 10,0.1 and 20,0.5 and 15,0.9 and 10,0.1 and 20,0.5 and 15,0.9 and 10
k-means,0.444,0.325,0.407,0.403,0.51,0.63,0.346,0.584,0.752
k-means + pca,0.428,0.443,0.388,0.39,0.493,0.612,0.335,0.568,0.652
k-means + tsne,0.227,0.282,0.289,0.255,0.395,0.595,0.204,0.382,0.649
k-means + umap,0.427,0.601,0.967,0.336,0.513,0.958,0.268,0.53,0.957
Birch,0.397,0.309,0.516,0.293,0.421,0.702,0.229,0.412,0.707
Birch + pca,0.15,0.402,-0.038,0.167,0.348,0.152,0.227,0.412,0.297
Birch + tsne,0.121,0.158,0.321,0.211,0.377,0.649,0.159,0.439,0.769
Birch + umap,0.337,0.734,0.967,0.212,0.492,0.958,0.315,0.578,0.957
GMM,0.582,0.554,0.458,0.258,0.763,0.996,0.109,0.666,0.927
GMM + pca,0.404,0.836,0.981,0.152,0.689,0.61,0.185,0.705,0.733
GMM + tsne,0.069,0.141,0.332,0.152,0.293,0.901,0.166,0.262,0.868
GMM + umap,0.484,0.747,0.967,0.375,0.537,0.958,0.205,0.505,0.957
PAM,0.041,0.299,0.49,0.134,0.224,0.564,0.067,0.24,0.634
PAM + pca,0.43,0.504,0.515,0.358,0.472,0.617,0.325,0.552,0.739
PAM + tsne,0.247,0.367,0.435,0.248,0.394,0.587,0.202,0.45,0.697
PAM + umap,0.425,0.644,0.967,0.341,0.577,0.958,0.263,0.55,0.957
Spectral Clustering,0.554,0.71,0.972,0.415,0.639,0.959,0.338,0.536,0.956
Spectral Clustering + pca,0.535,0.741,0.981,0.414,0.523,0.97,0.306,0.587,0.788
Spectral Clustering + tsne,0.288,0.322,0.936,0.223,0.378,0.952,0.182,0.432,0.934
Spectral Clustering + umap,0.478,0.701,0.432,0.337,0.657,0.249,0.24,0.513,0.457
