Observations and Features:,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5
k-means,0.366,0.493,0.595,0.282,0.477,0.671,0.262,0.433,0.683
k-means + pca,0.365,0.482,0.591,0.28,0.379,0.497,0.246,0.369,0.527
k-means + tsne,0.251,0.367,0.553,0.209,0.31,0.538,0.218,0.329,0.604
k-means + umap,0.307,0.471,0.614,0.291,0.482,0.697,0.268,0.463,0.7
Birch,0.208,0.338,0.559,0.188,0.307,0.532,0.171,0.349,0.584
Birch + pca,0.341,0.45,0.578,0.252,0.381,0.482,0.254,0.35,0.523
Birch + tsne,0.157,0.352,0.556,0.223,0.288,0.516,0.213,0.305,0.589
Birch + umap,0.324,0.462,0.615,0.297,0.438,0.644,0.252,0.384,0.703
GMM,0.138,0.469,0.627,0.224,0.383,0.722,0.211,0.37,0.739
GMM + pca,0.267,0.33,0.593,0.27,0.389,0.511,0.254,0.356,0.481
GMM + tsne,0.171,0.234,0.561,0.186,0.322,0.554,0.192,0.298,0.56
GMM + umap,0.299,0.457,0.625,0.264,0.457,0.709,0.248,0.44,0.686
PAM,0.293,0.428,0.546,0.262,0.389,0.554,0.22,0.359,0.606
PAM + pca,0.364,0.484,0.597,0.274,0.381,0.487,0.25,0.349,0.543
PAM + tsne,0.261,0.361,0.54,0.22,0.305,0.549,0.215,0.322,0.584
PAM + umap,0.307,0.476,0.614,0.291,0.484,0.699,0.268,0.427,0.702
Spectral Clustering,0.357,0.483,0.612,0.275,0.481,0.69,0.254,0.475,0.729
Spectral Clustering + pca,0.361,0.477,0.588,0.262,0.334,0.475,0.242,0.338,0.522
Spectral Clustering + tsne,0.267,0.365,0.596,0.196,0.296,0.563,0.206,0.33,0.699
Spectral Clustering + umap,0.32,0.465,0.607,0.305,0.473,0.7,0.271,0.462,0.669
