Observations and Features:,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5
k-means,0.101,0.14,0.222,0.075,0.105,0.175,0.071,0.087,0.158
k-means + pca,0.1,0.14,0.222,0.07,0.064,0.105,0.059,0.066,0.104
k-means + tsne,0.073,0.103,0.201,0.047,0.061,0.1,0.036,0.043,0.109
k-means + umap,0.091,0.132,0.217,0.054,0.092,0.166,0.046,0.078,0.151
Birch,0.048,0.098,0.204,0.028,0.072,0.112,0.015,0.041,0.116
Birch + pca,0.101,0.13,0.216,0.05,0.106,0.16,0.046,0.059,0.104
Birch + tsne,0.039,0.086,0.184,0.034,0.042,0.091,0.024,0.03,0.082
Birch + umap,0.083,0.131,0.218,0.093,0.133,0.172,0.088,0.118,0.152
GMM,0.055,0.129,0.212,0.049,0.047,0.13,0.035,0.077,0.153
GMM + pca,0.095,0.091,0.218,0.055,0.057,0.116,0.042,0.059,0.083
GMM + tsne,0.054,0.077,0.21,0.037,0.039,0.095,0.023,0.033,0.087
GMM + umap,0.09,0.133,0.213,0.053,0.076,0.157,0.043,0.072,0.139
PAM,0.091,0.129,0.213,0.068,0.082,0.133,0.057,0.071,0.127
PAM + pca,0.1,0.14,0.221,0.068,0.063,0.094,0.055,0.061,0.107
PAM + tsne,0.073,0.102,0.198,0.05,0.064,0.106,0.035,0.043,0.105
PAM + umap,0.09,0.132,0.217,0.053,0.092,0.164,0.047,0.069,0.152
Spectral Clustering,0.095,0.137,0.222,0.069,0.1,0.171,0.064,0.089,0.16
Spectral Clustering + pca,0.1,0.139,0.221,0.067,0.07,0.099,0.053,0.061,0.104
Spectral Clustering + tsne,0.072,0.099,0.206,0.042,0.046,0.106,0.032,0.048,0.148
Spectral Clustering + umap,0.089,0.131,0.22,0.057,0.091,0.165,0.05,0.08,0.118
