Observations and Features:,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise,0.1 and 12.5,0.5 and 10,0.9 and 7.5,0.1 and 12.5,0.5 and 10,0.9 and 7.5,0.1 and 12.5,0.5 and 10,0.9 and 7.5
k-means,0.547,0.722,0.85,0.405,0.432,0.578,0.323,0.445,0.637
k-means + pca,0.541,0.718,0.84,0.328,0.418,0.548,0.31,0.445,0.59
k-means + tsne,0.377,0.433,0.627,0.202,0.326,0.553,0.18,0.315,0.537
k-means + umap,0.512,0.703,0.87,0.353,0.409,0.554,0.248,0.439,0.613
Birch,0.439,0.629,0.793,0.278,0.389,0.51,0.229,0.364,0.496
Birch + pca,0.559,0.71,0.862,0.339,0.346,0.587,0.256,0.331,0.501
Birch + tsne,0.249,0.505,0.543,0.129,0.36,0.482,0.16,0.336,0.512
Birch + umap,0.512,0.561,0.87,0.372,0.54,0.652,0.181,0.396,0.512
GMM,0.118,0.599,0.651,0.173,0.45,0.583,0.13,0.303,0.535
GMM + pca,0.349,0.581,0.905,0.191,0.382,0.666,0.233,0.275,0.685
GMM + tsne,0.327,0.223,0.343,0.16,0.186,0.487,0.171,0.308,0.47
GMM + umap,0.526,0.728,0.88,0.315,0.391,0.572,0.19,0.481,0.607
PAM,0.264,0.417,0.687,0.158,0.166,0.431,0.122,0.256,0.413
PAM + pca,0.572,0.697,0.423,0.369,0.404,0.55,0.275,0.446,0.582
PAM + tsne,0.31,0.341,0.599,0.191,0.332,0.576,0.179,0.301,0.544
PAM + umap,0.489,0.712,0.87,0.35,0.422,0.539,0.259,0.395,0.62
Spectral Clustering,0.538,0.745,0.892,0.343,0.595,0.852,0.292,0.541,0.8
Spectral Clustering + pca,0.554,0.747,0.9,0.358,0.542,0.567,0.269,0.418,0.607
Spectral Clustering + tsne,0.332,0.312,0.73,0.173,0.288,0.741,0.148,0.308,0.582
Spectral Clustering + umap,0.477,0.699,0.871,0.238,0.519,0.825,0.182,0.383,0.622
