,ARI,NMI,Silhouette
k-means,0.493,0.595,0.222
k-means + pca,0.49,0.591,0.222
k-means + tsne,0.501,0.553,0.201
k-means + umap,0.52,0.614,0.217
Birch,0.44,0.559,0.204
Birch + pca,0.406,0.578,0.216
Birch + tsne,0.447,0.556,0.184
Birch + umap,0.518,0.615,0.218
GMM,0.487,0.627,0.212
GMM + pca,0.488,0.593,0.218
GMM + tsne,0.418,0.561,0.21
GMM + umap,0.547,0.625,0.213
PAM,0.432,0.546,0.213
PAM + pca,0.502,0.597,0.221
PAM + tsne,0.503,0.54,0.198
PAM + umap,0.519,0.614,0.217
Spectral Clustering,0.483,0.612,0.222
Spectral Clustering + pca,0.501,0.588,0.221
Spectral Clustering + tsne,0.529,0.596,0.206
Spectral Clustering + umap,0.483,0.607,0.22
