,ARI,NMI,Silhouette
k-means,0.424,0.477,0.105
k-means + pca,0.265,0.379,0.064
k-means + tsne,0.257,0.31,0.061
k-means + umap,0.453,0.482,0.092
Birch,0.191,0.307,0.072
Birch + pca,0.27,0.381,0.106
Birch + tsne,0.206,0.288,0.042
Birch + umap,0.375,0.438,0.133
GMM,0.308,0.383,0.047
GMM + pca,0.376,0.389,0.057
GMM + tsne,0.24,0.322,0.039
GMM + umap,0.448,0.457,0.076
PAM,0.313,0.389,0.082
PAM + pca,0.265,0.381,0.063
PAM + tsne,0.24,0.305,0.064
PAM + umap,0.461,0.484,0.092
Spectral Clustering,0.432,0.481,0.1
Spectral Clustering + pca,0.229,0.334,0.07
Spectral Clustering + tsne,0.213,0.296,0.046
Spectral Clustering + umap,0.429,0.473,0.091
