,ARI,NMI,Silhouette
k-means,0.905,0.835,0.139
k-means + pca,0.9,0.829,0.139
k-means + tsne,0.406,0.447,0.049
k-means + umap,0.889,0.81,0.138
trimmed k-means,0.92,0.848,0.149
trimmed k-means + pca,0.464,0.579,0.068
trimmed k-means + tsne,0.408,0.453,0.054
trimmed k-means + umap,0.889,0.8,0.139
GMM,0.547,0.559,0.097
GMM + pca,0.917,0.847,0.136
GMM + tsne,0.297,0.337,0.031
GMM + umap,0.892,0.814,0.138
PAM,0.375,0.434,0.054
PAM + pca,0.891,0.822,0.139
PAM + tsne,0.455,0.444,0.058
PAM + umap,0.889,0.811,0.138
Spectral Clustering,0.896,0.816,0.139
Spectral Clustering + pca,0.903,0.83,0.138
Spectral Clustering + tsne,0.372,0.391,0.043
Spectral Clustering + umap,0.891,0.812,0.138
