,ARI,NMI,Silhouette
k-means,0.63,0.77,0.161
k-means + pca,0.612,0.751,0.158
k-means + tsne,0.595,0.733,0.152
k-means + umap,0.958,0.943,0.143
Birch,0.702,0.828,0.157
Birch + pca,0.152,0.417,0.128
Birch + tsne,0.649,0.755,0.13
Birch + umap,0.958,0.943,0.143
GMM,0.996,0.992,0.14
GMM + pca,0.61,0.744,0.124
GMM + tsne,0.901,0.898,0.141
GMM + umap,0.958,0.943,0.143
PAM,0.564,0.657,0.152
PAM + pca,0.617,0.717,0.155
PAM + tsne,0.587,0.729,0.144
PAM + umap,0.958,0.943,0.143
Spectral Clustering,0.959,0.945,0.143
Spectral Clustering + pca,0.97,0.955,0.142
Spectral Clustering + tsne,0.952,0.934,0.142
Spectral Clustering + umap,0.249,0.53,0.091
