,ARI,NMI,Silhouette
k-means,0.407,0.572,0.179
k-means + pca,0.388,0.578,0.169
k-means + tsne,0.289,0.37,0.126
k-means + umap,0.967,0.943,0.114
Birch,0.516,0.65,0.167
Birch + pca,-0.038,0.235,0.119
Birch + tsne,0.321,0.527,0.144
Birch + umap,0.967,0.943,0.114
GMM,0.458,0.656,0.147
GMM + pca,0.981,0.957,0.112
GMM + tsne,0.332,0.509,0.12
GMM + umap,0.967,0.943,0.114
PAM,0.49,0.596,0.16
PAM + pca,0.515,0.629,0.164
PAM + tsne,0.435,0.554,0.144
PAM + umap,0.967,0.943,0.114
Spectral Clustering,0.972,0.948,0.115
Spectral Clustering + pca,0.981,0.96,0.114
Spectral Clustering + tsne,0.936,0.906,0.115
Spectral Clustering + umap,0.432,0.614,0.176
