,ARI,NMI,Silhouette
k-means,0.752,0.842,0.191
k-means + pca,0.652,0.743,0.181
k-means + tsne,0.649,0.758,0.144
k-means + umap,0.957,0.951,0.166
Birch,0.707,0.832,0.172
Birch + pca,0.297,0.515,0.106
Birch + tsne,0.769,0.837,0.171
Birch + umap,0.957,0.951,0.166
GMM,0.927,0.934,0.125
GMM + pca,0.733,0.833,0.158
GMM + tsne,0.868,0.893,0.159
GMM + umap,0.957,0.951,0.166
PAM,0.634,0.701,0.174
PAM + pca,0.739,0.823,0.189
PAM + tsne,0.697,0.773,0.165
PAM + umap,0.957,0.951,0.166
Spectral Clustering,0.956,0.952,0.166
Spectral Clustering + pca,0.788,0.871,0.187
Spectral Clustering + tsne,0.934,0.93,0.166
Spectral Clustering + umap,0.457,0.688,0.099
