,ARI,NMI,Silhouette
k-means,0.027,0.046,0.128
k-means + pca,0.031,0.056,0.316
k-means + tsne,0.027,0.044,0.272
k-means + umap,0.03,0.048,0.274
Birch,0.024,0.034,0.061
Birch + pca,0.015,0.018,0.292
Birch + tsne,0.027,0.04,0.204
Birch + umap,0.037,0.047,0.251
GMM,0.057,0.036,0.066
GMM + pca,0.022,0.051,0.278
GMM + tsne,0.03,0.042,0.213
GMM + umap,0.02,0.048,0.234
PAM,0.026,0.042,0.124
PAM + pca,0.029,0.056,0.277
PAM + tsne,0.025,0.045,0.261
PAM + umap,0.033,0.048,0.273
Spectral Clustering,0.022,0.04,0.123
Spectral Clustering + pca,0.028,0.055,0.29
Spectral Clustering + tsne,0.018,0.036,0.183
Spectral Clustering + umap,0.036,0.048,0.256
