Observations and Features:,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation:,0.1,0.5,0.9,0.1,0.5,0.9,0.1,0.5,0.9
k-means,0.89,0.299,0.26,0.206,0.209,0.216,0.19,0.186,0.198
k-means + pca,0.882,0.272,0.254,0.213,0.208,0.157,0.15,0.145,0.169
k-means + tsne,0.811,0.251,0.229,0.205,0.189,0.195,0.186,0.178,0.162
k-means + umap,0.901,0.304,0.267,0.223,0.226,0.204,0.187,0.204,0.183
Birch,0.819,0.287,0.225,0.165,0.132,0.16,0.137,0.169,0.108
Birch + pca,0.852,0.255,0.242,0.171,0.186,0.12,0.215,0.204,0.172
Birch + tsne,0.808,0.078,0.27,0.141,0.191,0.119,0.164,0.169,0.148
Birch + umap,0.901,0.252,0.266,0.231,0.192,0.204,0.175,0.225,0.188
GMM,0.914,0.264,0.221,0.141,0.187,0.139,0.171,0.082,0.15
GMM + pca,0.9,0.214,0.209,0.173,0.148,0.144,0.195,0.207,0.155
GMM + tsne,0.384,0.222,0.073,0.207,0.153,0.162,0.138,0.185,0.158
GMM + umap,0.895,0.27,0.4,0.249,0.193,0.13,0.165,0.196,0.184
PAM,0.563,0.349,0.25,0.228,0.2,0.23,0.19,0.188,0.184
PAM + pca,0.884,0.341,0.271,0.213,0.204,0.164,0.162,0.153,0.168
PAM + tsne,0.816,0.251,0.233,0.208,0.192,0.151,0.186,0.18,0.162
PAM + umap,0.9,0.3,0.269,0.221,0.226,0.205,0.187,0.211,0.185
Spectral Clustering,0.909,0.31,0.257,0.218,0.204,0.216,0.184,0.194,0.199
Spectral Clustering + pca,0.896,0.293,0.258,0.208,0.196,0.153,0.153,0.142,0.164
Spectral Clustering + tsne,0.727,-0.022,0.085,0.176,0.167,0.184,0.152,0.195,0.15
Spectral Clustering + umap,0.89,0.313,0.272,0.221,0.232,0.207,0.166,0.196,0.193
