Observations and Features:,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,5,7,9,5,7,9,5,7,9
k-means,0.419,0.39,0.533,0.596,0.533,0.427,0.638,0.452,0.412
k-means + pca,0.783,0.624,0.354,0.572,0.482,0.416,0.461,0.403,0.332
k-means + tsne,0.963,0.837,0.355,0.625,0.517,0.401,0.674,0.472,0.342
k-means + umap,0.973,0.881,0.501,0.628,0.504,0.417,0.717,0.531,0.329
Birch,0.447,0.43,0.28,0.614,0.464,0.244,0.59,0.436,0.235
Birch + pca,0.206,0.043,0.043,0.173,0.532,0.147,0.422,0.325,0.296
Birch + tsne,0.972,0.827,0.359,0.606,0.418,0.33,0.64,0.367,0.331
Birch + umap,0.973,0.884,0.374,0.632,0.46,0.41,0.645,0.445,0.345
GMM,0.982,0.602,0.666,0.757,0.702,0.39,0.838,0.426,0.477
GMM + pca,0.967,0.889,0.558,0.506,0.464,0.456,0.605,0.491,0.325
GMM + tsne,0.971,0.88,0.334,0.671,0.508,0.32,0.639,0.538,0.335
GMM + umap,0.973,0.88,0.751,0.635,0.524,0.483,0.778,0.52,0.455
PAM,0.703,0.278,0.235,0.537,0.362,0.231,0.622,0.39,0.251
PAM + pca,0.398,0.384,0.359,0.514,0.475,0.433,0.45,0.407,0.322
PAM + tsne,0.962,0.833,0.359,0.643,0.514,0.402,0.685,0.488,0.335
PAM + umap,0.973,0.882,0.368,0.635,0.546,0.416,0.719,0.54,0.326
Spectral Clustering,0.972,0.553,0.339,0.627,0.559,0.449,0.678,0.556,0.363
Spectral Clustering + pca,0.394,0.375,0.355,0.618,0.546,0.422,0.491,0.397,0.306
Spectral Clustering + tsne,0.973,0.874,0.351,0.634,0.515,0.384,0.613,0.427,0.278
Spectral Clustering + umap,0.973,0.879,0.421,0.532,0.538,0.39,0.445,0.588,0.304
