Observations and Features:,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1,0.5,0.9,0.1,0.5,0.9,0.1,0.5,0.9
k-means,0.172,0.172,0.177,0.153,0.156,0.159,0.145,0.149,0.155
k-means + pca,0.371,0.239,0.254,0.238,0.242,0.321,0.325,0.324,0.227
k-means + tsne,0.403,0.396,0.403,0.358,0.364,0.364,0.369,0.378,0.369
k-means + umap,0.35,0.337,0.343,0.32,0.309,0.325,0.282,0.299,0.282
Birch,0.115,0.125,0.125,0.098,0.092,0.087,0.084,0.091,0.073
Birch + pca,0.37,0.227,0.216,0.224,0.209,0.35,0.333,0.348,0.219
Birch + tsne,0.378,0.31,0.361,0.32,0.333,0.276,0.321,0.314,0.317
Birch + umap,0.33,0.311,0.327,0.264,0.264,0.278,0.265,0.3,0.274
GMM,0.137,0.135,0.129,0.108,0.104,0.092,0.099,0.064,0.104
GMM + pca,0.132,0.183,0.204,0.197,0.181,0.271,0.269,0.265,0.17
GMM + tsne,0.351,0.391,0.333,0.326,0.354,0.317,0.323,0.339,0.349
GMM + umap,0.342,0.297,0.305,0.285,0.266,0.256,0.229,0.233,0.192
PAM,0.173,0.173,0.174,0.142,0.137,0.149,0.136,0.13,0.134
PAM + pca,0.371,0.248,0.254,0.231,0.236,0.315,0.313,0.309,0.22
PAM + tsne,0.403,0.395,0.403,0.357,0.36,0.348,0.37,0.378,0.368
PAM + umap,0.35,0.335,0.342,0.319,0.307,0.324,0.29,0.303,0.297
Spectral Clustering,0.17,0.169,0.174,0.152,0.153,0.153,0.143,0.142,0.145
Spectral Clustering + pca,0.37,0.252,0.252,0.176,0.223,0.318,0.296,0.295,0.211
Spectral Clustering + tsne,0.037,0.064,0.136,0.254,0.17,0.21,0.192,0.096,0.287
Spectral Clustering + umap,0.346,0.332,0.338,0.314,0.299,0.316,0.274,0.279,0.283
