,ARI,NMI,Silhouette
k-means,0.411,0.538,0.125
k-means + pca,0.933,0.887,0.398
k-means + tsne,0.562,0.568,0.283
k-means + umap,0.904,0.851,0.609
Birch,0.822,0.729,0.143
Birch + pca,0.837,0.786,0.378
Birch + tsne,0.53,0.526,0.22
Birch + umap,0.904,0.851,0.609
GMM,0.913,0.857,0.155
GMM + pca,1.0,1.0,0.386
GMM + tsne,1.0,1.0,0.243
GMM + umap,1.0,1.0,0.565
PAM,0.437,0.511,0.11
PAM + pca,0.935,0.888,0.399
PAM + tsne,0.624,0.646,0.275
PAM + umap,0.903,0.848,0.609
Spectral Clustering,0.908,0.847,0.155
Spectral Clustering + pca,0.997,0.995,0.387
Spectral Clustering + tsne,0.628,0.593,0.282
Spectral Clustering + umap,0.967,0.948,0.581
