,ARI,NMI,Silhouette
k-means,0.89,0.831,0.153
k-means + pca,0.882,0.819,0.422
k-means + tsne,0.811,0.768,0.496
k-means + umap,0.901,0.835,0.632
Birch,0.819,0.728,0.14
Birch + pca,0.852,0.793,0.404
Birch + tsne,0.808,0.737,0.479
Birch + umap,0.901,0.835,0.632
GMM,0.914,0.851,0.152
GMM + pca,0.9,0.841,0.42
GMM + tsne,0.384,0.501,0.38
GMM + umap,0.895,0.826,0.632
PAM,0.563,0.6,0.135
PAM + pca,0.884,0.827,0.42
PAM + tsne,0.816,0.77,0.497
PAM + umap,0.9,0.834,0.632
Spectral Clustering,0.909,0.846,0.152
Spectral Clustering + pca,0.896,0.832,0.421
Spectral Clustering + tsne,0.727,0.718,0.486
Spectral Clustering + umap,0.89,0.821,0.631
