,ARI,NMI,Silhouette
k-means,0.925,0.904,0.222
k-means + pca,0.66,0.823,0.329
k-means + tsne,0.803,0.824,0.404
k-means + umap,0.978,0.967,0.791
Birch,0.64,0.791,0.195
Birch + pca,0.6,0.804,0.284
Birch + tsne,0.963,0.939,0.406
Birch + umap,0.978,0.967,0.791
GMM,0.928,0.907,0.205
GMM + pca,0.672,0.845,0.31
GMM + tsne,1.0,1.0,0.4
GMM + umap,0.979,0.971,0.787
PAM,0.605,0.704,0.177
PAM + pca,0.66,0.796,0.324
PAM + tsne,0.891,0.878,0.408
PAM + umap,0.978,0.967,0.791
Spectral Clustering,0.98,0.962,0.22
Spectral Clustering + pca,0.715,0.858,0.309
Spectral Clustering + tsne,0.97,0.952,0.409
Spectral Clustering + umap,0.432,0.666,0.075
