,ARI,NMI,Silhouette
k-means,0.452,0.533,0.108
k-means + pca,0.403,0.489,0.242
k-means + tsne,0.472,0.556,0.423
k-means + umap,0.531,0.616,0.452
Birch,0.436,0.496,0.08
Birch + pca,0.325,0.471,0.175
Birch + tsne,0.367,0.495,0.368
Birch + umap,0.445,0.56,0.437
GMM,0.426,0.512,0.031
GMM + pca,0.491,0.533,0.185
GMM + tsne,0.538,0.568,0.364
GMM + umap,0.52,0.613,0.432
PAM,0.39,0.458,0.088
PAM + pca,0.407,0.491,0.237
PAM + tsne,0.488,0.569,0.423
PAM + umap,0.54,0.62,0.45
Spectral Clustering,0.556,0.632,0.108
Spectral Clustering + pca,0.397,0.497,0.231
Spectral Clustering + tsne,0.427,0.559,0.372
Spectral Clustering + umap,0.588,0.656,0.447
