,ARI,NMI,Silhouette
k-means,0.451,0.619,0.194
k-means + pca,0.98,0.962,0.467
k-means + tsne,0.803,0.79,0.392
k-means + umap,0.987,0.972,0.83
Birch,0.961,0.928,0.239
Birch + pca,0.661,0.717,0.35
Birch + tsne,0.962,0.936,0.39
Birch + umap,0.987,0.972,0.83
GMM,0.996,0.992,0.244
GMM + pca,1.0,1.0,0.465
GMM + tsne,1.0,1.0,0.389
GMM + umap,0.997,0.993,0.822
PAM,0.866,0.822,0.229
PAM + pca,0.983,0.966,0.467
PAM + tsne,0.886,0.853,0.394
PAM + umap,0.987,0.972,0.83
Spectral Clustering,0.988,0.975,0.244
Spectral Clustering + pca,0.999,0.997,0.466
Spectral Clustering + tsne,0.983,0.966,0.392
Spectral Clustering + umap,0.987,0.972,0.83
