,ARI,NMI,Silhouette
k-means,0.645,0.795,0.158
k-means + pca,0.935,0.899,0.418
k-means + tsne,0.542,0.668,0.324
k-means + umap,0.947,0.91,0.754
Birch,0.908,0.868,0.182
Birch + pca,0.753,0.806,0.299
Birch + tsne,0.909,0.878,0.345
Birch + umap,0.858,0.865,0.724
GMM,0.658,0.781,0.099
GMM + pca,0.938,0.908,0.411
GMM + tsne,0.624,0.768,0.287
GMM + umap,0.948,0.913,0.754
PAM,0.866,0.824,0.199
PAM + pca,0.936,0.902,0.418
PAM + tsne,0.539,0.665,0.323
PAM + umap,0.947,0.91,0.754
Spectral Clustering,0.954,0.921,0.191
Spectral Clustering + pca,0.949,0.911,0.417
Spectral Clustering + tsne,0.933,0.894,0.355
Spectral Clustering + umap,0.584,0.74,0.28
