,ARI,NMI,Silhouette
k-means,0.544,0.641,0.101
k-means + pca,0.718,0.839,0.203
k-means + tsne,0.436,0.534,0.302
k-means + umap,0.696,0.807,0.386
Birch,0.5,0.566,0.07
Birch + pca,0.714,0.835,0.188
Birch + tsne,0.588,0.563,0.232
Birch + umap,0.83,0.821,0.445
GMM,0.56,0.57,0.068
GMM + pca,0.947,0.95,0.197
GMM + tsne,0.887,0.872,0.15
GMM + umap,0.97,0.937,0.435
PAM,0.37,0.473,0.073
PAM + pca,0.705,0.823,0.202
PAM + tsne,0.444,0.535,0.299
PAM + umap,0.688,0.802,0.385
Spectral Clustering,0.817,0.739,0.11
Spectral Clustering + pca,0.747,0.876,0.196
Spectral Clustering + tsne,0.487,0.571,0.287
Spectral Clustering + umap,0.921,0.908,0.442
