,ARI,NMI,Silhouette
k-means,0.39,0.485,0.148
k-means + pca,0.624,0.581,0.305
k-means + tsne,0.837,0.76,0.467
k-means + umap,0.881,0.814,0.537
Birch,0.43,0.488,0.125
Birch + pca,0.043,0.205,0.267
Birch + tsne,0.827,0.74,0.452
Birch + umap,0.884,0.816,0.536
GMM,0.602,0.668,0.107
GMM + pca,0.889,0.815,0.307
GMM + tsne,0.88,0.805,0.468
GMM + umap,0.88,0.811,0.537
PAM,0.278,0.383,0.096
PAM + pca,0.384,0.472,0.317
PAM + tsne,0.833,0.756,0.466
PAM + umap,0.882,0.815,0.537
Spectral Clustering,0.553,0.633,0.128
Spectral Clustering + pca,0.375,0.455,0.308
Spectral Clustering + tsne,0.874,0.797,0.471
Spectral Clustering + umap,0.879,0.812,0.537
