Observations and Features:,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1,0.5,0.9,0.1,0.5,0.9,0.1,0.5,0.9
k-means,0.334,0.321,0.288,0.255,0.258,0.257,0.27,0.264,0.268
k-means + pca,0.323,0.297,0.282,0.263,0.25,0.224,0.255,0.248,0.239
k-means + tsne,0.287,0.274,0.255,0.264,0.237,0.243,0.27,0.263,0.248
k-means + umap,0.319,0.322,0.295,0.278,0.269,0.256,0.268,0.279,0.258
Birch,0.287,0.307,0.263,0.205,0.187,0.194,0.237,0.241,0.171
Birch + pca,0.316,0.286,0.278,0.201,0.25,0.157,0.264,0.238,0.223
Birch + tsne,0.235,0.106,0.291,0.213,0.23,0.199,0.248,0.263,0.234
Birch + umap,0.292,0.286,0.304,0.265,0.245,0.253,0.269,0.281,0.259
GMM,0.336,0.297,0.213,0.208,0.25,0.206,0.231,0.193,0.27
GMM + pca,0.166,0.266,0.242,0.224,0.205,0.21,0.252,0.246,0.236
GMM + tsne,0.15,0.251,0.169,0.258,0.227,0.194,0.247,0.263,0.24
GMM + umap,0.326,0.326,0.366,0.273,0.244,0.217,0.25,0.26,0.245
PAM,0.335,0.34,0.272,0.267,0.238,0.261,0.268,0.265,0.253
PAM + pca,0.324,0.346,0.299,0.263,0.247,0.227,0.259,0.251,0.246
PAM + tsne,0.291,0.274,0.259,0.265,0.248,0.214,0.269,0.263,0.247
PAM + umap,0.323,0.322,0.296,0.276,0.27,0.257,0.276,0.281,0.259
Spectral Clustering,0.343,0.333,0.291,0.249,0.246,0.253,0.263,0.269,0.269
Spectral Clustering + pca,0.32,0.313,0.288,0.249,0.241,0.22,0.25,0.244,0.241
Spectral Clustering + tsne,0.159,0.067,0.139,0.242,0.2,0.228,0.256,0.251,0.242
Spectral Clustering + umap,0.335,0.329,0.302,0.27,0.253,0.255,0.265,0.269,0.262
